,REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
160,384001530,"                                            USA, New Jersey: Black (2008-2012)","USA, New Jersey: Black",False,USA,0,0,1
161,384000999,"                                                   USA, New Mexico (2008-2012)","USA, New Mexico",False,USA,0,0,1
162,384000910,"                                           *USA, New Mexico: White (2008-2012)","USA, New Mexico: White",True,USA,0,0,1
163,384000950,"                                  *USA, New Mexico: Hispanic White (2008-2012)","USA, New Mexico: Hispanic White",True,USA,0,0,1
164,384000960,"                              *USA, New Mexico: Non-Hispanic White (2008-2012)","USA, New Mexico: Non-Hispanic White",True,USA,0,0,1
165,384001699,"                                               USA, New York State (2008-2012)","USA, New York State",False,USA,0,0,1
166,384001610,"                                        USA, New York State: White (2008-2012)","USA, New York State: White",False,USA,0,0,1
167,384001630,"                                        USA, New York State: Black (2008-2012)","USA, New York State: Black",False,USA,0,0,1
168,384004599,"                                               USA, North Carolina (2008-2012)","USA, North Carolina",False,USA,0,0,1
169,384004510,"                                        USA, North Carolina: White (2008-2012)","USA, North Carolina: White",False,USA,0,0,1
170,384004530,"                                        USA, North Carolina: Black (2008-2012)","USA, North Carolina: Black",False,USA,0,0,1
171,384004699,"                                                 USA, North Dakota (2008-2012)","USA, North Dakota",False,USA,0,0,1
172,384006599,"                                                         USA, Ohio (2008-2012)","USA, Ohio",False,USA,0,0,1
173,384006510,"                                                  USA, Ohio: White (2008-2012)","USA, Ohio: White",False,USA,0,0,1
174,384006530,"                                                  USA, Ohio: Black (2008-2012)","USA, Ohio: Black",False,USA,0,0,1
175,384006699,"                                                     USA, Oklahoma (2008-2012)","USA, Oklahoma",False,USA,0,0,1
176,384006610,"                                              USA, Oklahoma: White (2008-2012)","USA, Oklahoma: White",False,USA,0,0,1
177,384006630,"                                              USA, Oklahoma: Black (2008-2012)","USA, Oklahoma: Black",False,USA,0,0,1
178,384006799,"                                                       USA, Oregon (2008-2012)","USA, Oregon",False,USA,0,0,1
179,384006710,"                                                USA, Oregon: White (2008-2012)","USA, Oregon: White",False,USA,0,0,1
180,384006730,"                                                USA, Oregon: Black (2008-2012)","USA, Oregon: Black",False,USA,0,0,1
181,384006899,"                                                 USA, Pennsylvania (2008-2012)","USA, Pennsylvania",False,USA,0,0,1
182,384006810,"                                          USA, Pennsylvania: White (2008-2012)","USA, Pennsylvania: White",False,USA,0,0,1
183,384006830,"                                          USA, Pennsylvania: Black (2008-2012)","USA, Pennsylvania: Black",False,USA,0,0,1
184,384006999,"                                                 USA, Rhode Island (2008-2012)","USA, Rhode Island",False,USA,0,0,1
185,384006910,"                                          USA, Rhode Island: White (2008-2012)","USA, Rhode Island: White",False,USA,0,0,1
186,384006930,"                                          USA, Rhode Island: Black (2008-2012)","USA, Rhode Island: Black",False,USA,0,0,1
187,384007099,"                                               USA, South Carolina (2008-2012)","USA, South Carolina",False,USA,0,0,1
188,384007010,"                                        USA, South Carolina: White (2008-2012)","USA, South Carolina: White",False,USA,0,0,1
189,384007030,"                                        USA, South Carolina: Black (2008-2012)","USA, South Carolina: Black",False,USA,0,0,1
